epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.142,1.24179,1.70325,1.18955,0.80406,0.75926,0.82409,0.53244,1.13188,1.26023,1.11989,0.000660494,0.000660494,0.000660494
2,51.5022,1.27495,1.29783,1.19735,0.92992,0.72037,0.84993,0.50286,1.3764,1.45581,1.23698,0.00131402,0.00131402,0.00131402
3,75.7783,1.316,1.2128,1.23242,0.88918,0.84259,0.90366,0.6231,1.07804,0.97461,1.1235,0.00195435,0.00195435,0.00195435
4,99.5284,1.2912,1.14224,1.204,0.91718,0.7463,0.87249,0.56815,1.13528,1.33401,1.14141,0.0019406,0.0019406,0.0019406
5,124.09,1.24433,1.02455,1.19169,0.88368,0.87037,0.92736,0.63085,1.11954,0.78105,1.13025,0.0019208,0.0019208,0.0019208
6,149.417,1.21688,0.9805,1.17851,0.8872,0.83333,0.90778,0.62744,1.06416,0.90146,1.09602,0.001901,0.001901,0.001901
7,173.144,1.18615,0.90898,1.1589,0.88727,0.88908,0.93294,0.64574,1.07087,0.76671,1.11962,0.0018812,0.0018812,0.0018812
8,198.306,1.17547,0.88436,1.16138,0.93305,0.89815,0.95492,0.69641,0.97589,0.65682,1.03841,0.0018614,0.0018614,0.0018614
9,223.055,1.15663,0.85724,1.14009,0.94489,0.88909,0.95096,0.66899,1.03707,0.68375,1.05856,0.0018416,0.0018416,0.0018416
10,245.906,1.15306,0.83327,1.14489,0.92936,0.89444,0.95407,0.70564,0.95156,0.64862,1.03129,0.0018218,0.0018218,0.0018218
11,270.408,1.14391,0.81718,1.14502,0.915,0.90926,0.95546,0.66307,1.04325,0.64306,1.04754,0.001802,0.001802,0.001802
12,294.516,1.12712,0.78547,1.12567,0.95622,0.9037,0.96554,0.70918,0.96228,0.59438,1.02668,0.0017822,0.0017822,0.0017822
13,318.297,1.10929,0.76054,1.11771,0.95816,0.92037,0.96403,0.68473,1.0212,0.60226,1.03954,0.0017624,0.0017624,0.0017624
14,341.425,1.11486,0.76358,1.11738,0.93911,0.92222,0.96452,0.70066,0.94246,0.65958,1.03795,0.0017426,0.0017426,0.0017426
15,365.118,1.10071,0.73248,1.10399,0.96344,0.92728,0.97088,0.70927,0.96684,0.59039,1.03827,0.0017228,0.0017228,0.0017228
16,388.178,1.10417,0.73652,1.11776,0.96409,0.94466,0.96513,0.70026,0.98505,0.5681,1.03229,0.001703,0.001703,0.001703
17,412.306,1.07709,0.70039,1.0961,0.97097,0.92914,0.97242,0.73965,0.88862,0.53812,0.99569,0.0016832,0.0016832,0.0016832
18,436.779,1.07875,0.69067,1.10015,0.94187,0.96025,0.97229,0.72452,0.92207,0.51651,1.00164,0.0016634,0.0016634,0.0016634
19,459.508,1.06908,0.69221,1.08323,0.95767,0.96353,0.9784,0.71767,0.95808,0.52174,1.01677,0.0016436,0.0016436,0.0016436
20,483.666,1.0442,0.68092,1.08283,0.96005,0.93455,0.97332,0.72205,0.94408,0.52804,1.01449,0.0016238,0.0016238,0.0016238
21,507.753,1.06658,0.67568,1.09236,0.96414,0.946,0.97273,0.72316,0.93004,0.55078,1.01502,0.001604,0.001604,0.001604
22,530.129,1.03476,0.68586,1.07756,0.95475,0.96111,0.97577,0.7312,0.89072,0.51117,1.00514,0.0015842,0.0015842,0.0015842
23,553.829,1.05182,0.66641,1.07854,0.98033,0.95185,0.97751,0.73993,0.90393,0.49476,1.00218,0.0015644,0.0015644,0.0015644
24,577.949,1.0223,0.6543,1.0695,0.95716,0.9517,0.97446,0.72326,0.91165,0.51192,1.00864,0.0015446,0.0015446,0.0015446
25,599.875,1.01766,0.62463,1.06756,0.9791,0.95443,0.97908,0.73459,0.91427,0.47181,1.02127,0.0015248,0.0015248,0.0015248
26,623.589,1.01571,0.64612,1.06808,0.95494,0.95,0.97665,0.7447,0.8709,0.48374,0.99062,0.001505,0.001505,0.001505
27,646.973,1.01613,0.62502,1.05476,0.96798,0.9518,0.97448,0.74397,0.89106,0.49721,0.99559,0.0014852,0.0014852,0.0014852
28,669.566,1.00706,0.63379,1.06234,0.95257,0.94444,0.96854,0.71559,0.92832,0.50604,1.01175,0.0014654,0.0014654,0.0014654
29,693.342,0.99477,0.62375,1.05202,0.95788,0.96868,0.98095,0.73807,0.90545,0.46142,0.99588,0.0014456,0.0014456,0.0014456
30,715.751,1.01792,0.63544,1.071,0.97817,0.94444,0.98015,0.74465,0.89719,0.46798,0.9991,0.0014258,0.0014258,0.0014258
31,738.836,0.97678,0.60808,1.05838,0.96435,0.95191,0.97397,0.72168,0.94436,0.47728,1.01351,0.001406,0.001406,0.001406
32,762.417,0.98451,0.6006,1.04831,0.96568,0.95926,0.97807,0.75405,0.86422,0.45203,0.99234,0.0013862,0.0013862,0.0013862
33,784.772,0.97484,0.58782,1.04167,0.98126,0.96947,0.97991,0.74715,0.86383,0.45572,0.99687,0.0013664,0.0013664,0.0013664
34,808.388,0.97014,0.58829,1.04448,0.97456,0.9537,0.97922,0.75093,0.88241,0.45493,0.9926,0.0013466,0.0013466,0.0013466
35,831.578,0.97567,0.58415,1.04472,0.9747,0.96852,0.97962,0.75895,0.8549,0.44026,0.97571,0.0013268,0.0013268,0.0013268
36,854.198,0.98099,0.58622,1.05402,0.96733,0.96481,0.97631,0.74649,0.85533,0.45521,0.99041,0.001307,0.001307,0.001307
37,878.137,0.96007,0.57975,1.04372,0.97018,0.96384,0.98191,0.75309,0.88102,0.45641,0.99767,0.0012872,0.0012872,0.0012872
38,900.304,0.95341,0.56815,1.03086,0.97767,0.96852,0.98592,0.76007,0.83491,0.42563,0.98315,0.0012674,0.0012674,0.0012674
39,924.262,0.96341,0.56,1.04395,0.98257,0.96667,0.98276,0.76559,0.85386,0.41972,0.98507,0.0012476,0.0012476,0.0012476
40,948.327,0.95011,0.55932,1.03541,0.95645,0.95556,0.97496,0.74769,0.88406,0.46471,1.00155,0.0012278,0.0012278,0.0012278
41,970.283,0.94294,0.54798,1.03395,0.97401,0.97176,0.98037,0.757,0.86672,0.44526,0.98576,0.001208,0.001208,0.001208
42,993.886,0.94501,0.54442,1.02214,0.97301,0.97778,0.98307,0.76785,0.85346,0.41505,0.98995,0.0011882,0.0011882,0.0011882
43,1017.81,0.95449,0.5431,1.02929,0.97416,0.9537,0.98297,0.76595,0.86957,0.42008,0.99031,0.0011684,0.0011684,0.0011684
44,1039.69,0.94761,0.54317,1.01986,0.97686,0.95926,0.98217,0.76174,0.86208,0.42481,0.98277,0.0011486,0.0011486,0.0011486
45,1063.69,0.9276,0.53836,1.01518,0.97646,0.96667,0.98091,0.76933,0.84903,0.41239,0.98049,0.0011288,0.0011288,0.0011288
46,1087.17,0.92113,0.53067,1.01872,0.97079,0.97963,0.98317,0.75909,0.86363,0.41524,0.98099,0.001109,0.001109,0.001109
47,1109.77,0.91329,0.534,1.01853,0.98194,0.96667,0.98045,0.76592,0.8469,0.41674,0.97888,0.0010892,0.0010892,0.0010892
48,1133.52,0.93679,0.53474,1.02296,0.98136,0.97522,0.9815,0.77294,0.84649,0.40778,0.97835,0.0010694,0.0010694,0.0010694
49,1156.11,0.91949,0.52316,1.01632,0.98197,0.97037,0.98278,0.76041,0.84622,0.41817,0.98041,0.0010496,0.0010496,0.0010496
50,1179.31,0.9135,0.53192,1.02417,0.98362,0.96296,0.98,0.7594,0.84572,0.41419,0.98078,0.0010298,0.0010298,0.0010298
51,1202.91,0.91414,0.52406,1.01375,0.97217,0.97407,0.98351,0.75869,0.87285,0.41189,0.98573,0.00101,0.00101,0.00101
52,1225.08,0.90228,0.51985,1.01606,0.98129,0.97134,0.98398,0.77531,0.8425,0.40262,0.984,0.0009902,0.0009902,0.0009902
53,1248.92,0.90561,0.51504,1.01289,0.98433,0.97593,0.98562,0.76754,0.85565,0.40355,0.9822,0.0009704,0.0009704,0.0009704
